A,Call overhead,OpenFaaS overhead,Time inside function,Total time
1,0.051458,0.050185,9.662006050348282e-06,0.101643
2,0.04136800000000001,0.051472,6.847083568572998e-06,0.09284
3,0.045338,0.037357,1.0476913303136826e-05,0.082695
4,0.037718,0.041255,6.401911377906799e-06,0.078973
5,0.038132,0.029364,5.627982318401337e-06,0.067496
6,0.036337,0.053198,1.2708129361271858e-05,0.089535
7,0.064635,0.039724,9.070150554180145e-06,0.104359
8,0.049559,0.040068,7.617054507136345e-06,0.089627
9,0.03402,0.037642,7.313909009099007e-06,0.071662
10,0.034427,0.031914,5.6300777941942215e-06,0.066341
11,0.032742,0.035848,6.061047315597534e-06,0.06859
12,0.041664,0.033835,6.394926458597183e-06,0.075499
13,0.050043,0.034168,6.6659413278102875e-06,0.084211
14,0.04720099999999999,0.031209,7.163966074585915e-06,0.07841
15,0.024363,0.027409,5.842885002493858e-06,0.051772
16,0.034716,0.031775,6.222166121006012e-06,0.066491
17,0.040393,0.03547,6.342073902487755e-06,0.075863
18,0.043301000000000006,0.034898,6.003072485327721e-06,0.078199
19,0.039034000000000006,0.056428,8.13719816505909e-06,0.095462
20,0.038137,0.043277,7.194001227617264e-06,0.081414
21,0.037731,0.035068,5.631009116768837e-06,0.072799
22,0.03374100000000001,0.045209,7.562106475234032e-06,0.07895
23,0.039508999999999996,0.048672,7.287133485078812e-06,0.088181
24,0.045557,0.04464,6.945105269551277e-06,0.090197
25,0.04362999999999999,0.076104,1.77798792719841e-05,0.119734
26,0.041006999999999995,0.039946,6.768852472305298e-06,0.080953
27,0.037961999999999996,0.044239,6.770016625523567e-06,0.082201
28,0.037321999999999994,0.034361,7.121823728084564e-06,0.071683
29,0.032942000000000006,0.046284,7.422175258398056e-06,0.079226
30,0.048814,0.041914,7.5248535722494125e-06,0.090728
31,0.038844000000000004,0.052442,6.810994818806648e-06,0.091286
32,0.035134,0.036978,5.802139639854431e-06,0.072112
33,0.05539499999999999,0.031273,5.768146365880966e-06,0.086668
34,0.04430300000000001,0.026653,6.049172952771187e-06,0.070956
35,0.038293,0.03732,6.217975169420242e-06,0.075613
36,0.045102,0.032524,1.0279007256031036e-05,0.077626
37,0.031112000000000004,0.026631,5.383044481277466e-06,0.057743
38,0.030146999999999993,0.037592,6.100162863731384e-06,0.067739
39,0.050957999999999996,0.058967,1.766788773238659e-05,0.109925
40,0.041132999999999996,0.04322,6.224960088729858e-06,0.084353
41,0.036817,0.033652,5.839159712195396e-06,0.070469
42,0.043454,0.035183,6.875023245811462e-06,0.078637
43,0.039945999999999995,0.067331,7.4498821049928665e-06,0.107277
44,0.05413900000000001,0.043501,5.580950528383255e-06,0.09764
45,0.042836000000000006,0.049099,7.011927664279938e-06,0.091935
46,0.037589,0.0309,6.485963240265846e-06,0.068489
47,0.041356,0.054904,1.0797986760735512e-05,0.09626
48,0.03634099999999999,0.036394,6.134854629635811e-06,0.072735
49,0.046632999999999994,0.044644,7.33579508960247e-06,0.091277
50,0.03583900000000001,0.035701,6.95730559527874e-05,0.07154
51,0.04178,0.045262,6.899004802107811e-06,0.087042
52,0.035859999999999996,0.039043,6.612855941057205e-06,0.074903
53,0.03893,0.050102,7.2410330176353455e-06,0.089032
54,0.041341,0.041656,7.1320682764053345e-06,0.082997
55,0.03780599999999999,0.028174,6.716931238770485e-06,0.06598
56,0.03273,0.03212,5.593989044427872e-06,0.06485
57,0.033946,0.043749,6.376998499035835e-06,0.077695
58,0.030304000000000005,0.039262,5.9639569371938705e-06,0.069566
59,0.037291000000000005,0.039368,6.210058927536011e-06,0.076659
60,0.052926,0.028254,6.2889885157346725e-06,0.08118
61,0.04399800000000001,0.028291,5.634035915136337e-06,0.072289
62,0.039330000000000004,0.037576,6.512971594929695e-06,0.076906
63,0.036788999999999995,0.043913,6.606103852391243e-06,0.080702
64,0.038079,0.037677,6.024027243256569e-06,0.075756
65,0.038271000000000006,0.030563,1.0175863280892372e-05,0.068834
66,0.048401,0.029876,5.869893357157707e-06,0.078277
67,0.049488000000000004,0.037025,7.000984624028206e-06,0.086513
68,0.030910999999999994,0.033652,5.836132913827896e-06,0.064563
69,0.040504,0.036728,6.040092557668686e-06,0.077232
70,0.047372000000000004,0.049699,7.255934178829193e-06,0.097071
71,0.049824,0.042638,6.055925041437149e-06,0.092462
72,0.038459999999999994,0.041007,6.399117410182953e-06,0.079467
73,0.041145,0.036979,6.312970072031021e-06,0.078124
74,0.04437,0.042333,6.022164598107338e-06,0.086703
75,0.036173000000000004,0.036141,5.92903234064579e-06,0.072314
76,0.03507,0.029618,6.30808062851429e-06,0.064688
77,0.039956,0.033488,5.613081157207489e-06,0.073444
78,0.034938000000000004,0.039752,5.771871656179428e-06,0.07469
79,0.040253,0.038899,6.359070539474487e-06,0.079152
80,0.038028000000000006,0.045873,0.00016682199202477932,0.083901
81,0.059849,0.031818,5.910871550440788e-06,0.091667
82,0.043871,0.035156,6.103888154029846e-06,0.079027
83,0.048815,0.042404,6.2121544033288956e-06,0.091219
84,0.049825,0.036365,5.658017471432686e-06,0.08619
85,0.041259000000000004,0.03841,6.769085302948952e-06,0.079669
86,0.041990999999999994,0.03355,6.527872756123543e-06,0.075541
87,0.035574,0.039433,6.086193025112152e-06,0.075007
88,0.046808999999999996,0.053764,7.320893928408623e-06,0.100573
89,0.052823999999999996,0.029881,6.359070539474487e-06,0.082705
