A,Call overhead,OpenFaaS overhead,Time inside function
1,0.08858599999999939,0.058589000000000446,4.3
2,0.06903199999999998,0.030698999999999366,4.15
3,0.044941999999999815,0.04436100000000032,4.37
4,0.05565899999999946,0.04381799999999991,4.24
5,0.04638100000000023,0.02812099999999962,4.23
6,0.04398900000000072,0.03273299999999946,4.28
7,0.04267999999999983,0.044934999999999725,4.62
8,0.05710800000000038,0.027959000000000067,4.39
9,0.05496200000000062,0.029407999999999213,4.23
10,0.03831600000000002,0.041243000000000585,4.22
11,0.04565000000000019,0.04774299999999965,4.21
12,0.06445800000000013,0.05163299999999982,3.95
13,0.03946400000000061,0.027904999999999625,4.37
14,0.046196000000000126,0.03993300000000044,4.56
15,0.03363700000000058,0.04358199999999979,4.34
16,0.051560999999999524,0.024504000000000303,4.25
17,0.06292100000000023,0.03646499999999975,4.58
18,0.03900099999999984,0.04870200000000047,4.43
19,0.05023800000000023,0.04276000000000035,4.43
20,0.03528800000000043,0.06865200000000016,4.47
21,0.055783000000000804,0.03854999999999986,4.22
22,0.037976000000000454,0.0429649999999997,4.33
23,0.05908599999999975,0.06698900000000041,4.43
24,0.03638400000000086,0.028826999999999714,4.34
25,0.045106999999999786,0.037069999999999936,4.23
26,0.05398600000000009,0.02969099999999969,4.12
27,0.054701999999999806,0.028271000000000157,4.42
28,0.0624709999999995,0.023271000000000264,4.12
29,0.04398500000000016,0.02523199999999992,4.18
30,0.05054800000000004,0.03139200000000031,4.3
31,0.047649000000000274,0.0387780000000002,3.96
32,0.04686699999999977,0.0440820000000004,3.96
33,0.05905799999999983,0.03625199999999973,3.95
34,0.04794199999999993,0.04388700000000023,3.9
35,0.05248799999999987,0.05041999999999991,3.87
36,0.045836999999999684,0.03587500000000077,4.27
37,0.06294199999999961,0.034607000000000276,3.92
38,0.04107100000000008,0.042365999999999904,3.92
39,0.055223000000000244,0.03429799999999972,3.93
40,0.03991200000000017,0.026234999999999786,3.95
41,0.04436900000000055,0.02860399999999963,3.99
42,0.0377559999999999,0.03448299999999982,4.04
43,0.040132999999999974,0.04441299999999959,4.03
44,0.04553100000000043,0.02295199999999964,3.97
45,0.05541899999999966,0.052534000000000525,4.22
46,0.04799099999999967,0.054470999999999936,3.97
47,0.0446080000000002,0.03686699999999998,4.0
48,0.04835400000000023,0.04126399999999997,3.88
49,0.044864000000000015,0.029322999999999766,3.87
50,0.04768699999999981,0.038419999999999455,4.23
51,0.04742100000000038,0.04644000000000004,3.92
52,0.036577000000000304,0.023403000000000063,4.01
53,0.04728600000000016,0.03248699999999971,3.93
54,0.05932100000000018,0.045811000000000046,3.88
55,0.052257,0.04111799999999999,4.15
56,0.05662599999999962,0.04144100000000073,4.06
57,0.05223299999999931,0.04307200000000044,4.09
58,0.04362599999999972,0.05280400000000007,3.89
59,0.03882099999999955,0.03888399999999992,3.97
60,0.03848400000000041,0.03167600000000004,4.09
61,0.054986999999999675,0.04127100000000006,3.89
62,0.04266900000000007,0.04898099999999994,3.88
63,0.05459600000000009,0.042619000000000185,3.78
64,0.05022499999999974,0.04494200000000026,3.9
65,0.04209200000000024,0.04561700000000002,4.02
66,0.056866000000000305,0.03340299999999985,4.04
67,0.03960200000000036,0.03139299999999956,3.99
68,0.04999700000000029,0.028497999999999912,4.21
69,0.03801100000000002,0.03300600000000031,4.06
70,0.04952700000000032,0.033107999999999915,3.97
71,0.04878999999999989,0.026475000000000026,3.86
72,0.04273300000000013,0.05535800000000002,3.86
73,0.054225999999999885,0.03539099999999973,4.12
74,0.041398000000000046,0.029197999999999613,3.97
75,0.05355500000000024,0.04191699999999976,3.95
76,0.043681999999999555,0.03749799999999981,3.97
77,0.06261700000000037,0.03322599999999998,3.96
78,0.041596999999999884,0.04218799999999989,3.91
79,0.034569999999999546,0.02592099999999986,3.97
80,0.046258000000000354,0.04707099999999986,3.93
81,0.037829999999999586,0.037043999999999855,4.16
82,0.0424199999999999,0.02322700000000033,4.02
83,0.0778019999999997,0.03215199999999996,3.94
84,0.03801699999999997,0.021546999999999983,3.99
85,0.06497099999999989,0.0360990000000001,3.86
86,0.05879100000000026,0.0337139999999998,3.99
87,0.05689999999999973,0.0314230000000002,4.2
88,0.05093199999999998,0.036680000000000046,3.91
89,0.042492000000000196,0.05269999999999975,3.91
90,0.04205699999999979,0.053766000000000425,4.17
91,0.051632000000000566,0.05222999999999978,4.09
92,0.05665000000000031,0.036285000000000345,4.1
93,0.04091699999999987,0.03515500000000005,3.91
94,0.04310399999999959,0.03576300000000021,3.99
95,0.04067099999999968,0.02942400000000056,4.01
96,0.04285300000000003,0.041813999999999574,4.07
97,0.03902400000000039,0.027305000000000135,4.01
98,0.05479699999999976,0.03533300000000006,3.77
99,0.03750600000000048,0.05046799999999951,4.16
100,0.04662299999999986,0.043140999999999874,3.87
